std_name,StrainName,Reference,SRA,Clade,ecological_value,eco_cat1,eco_cat2,eco_cat3
XTRA_DEW,SDO2s1,Almeida et al. 2015,ERR754604,36. North American Wild,Oak,NA,Tree,Plant
XTRA_DEX,SDO8s1,Almeida et al. 2015,ERR754605,36. North American Wild,Oak,NA,Tree,Plant
XTRA_DEY,SM69s1,Almeida et al. 2015,ERR754606,36. North American Wild,Oak,NA,Tree,Plant
XTRA_DEZ,ZP676,Almeida et al. 2015,ERR754607,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DFA,ZP677,Almeida et al. 2015,ERR754608,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DFB,ZP678,Almeida et al. 2015,ERR754609,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DFC,ZP675,Almeida et al. 2015,ERR754610,NA,Quercus acutissima,Bark,Tree,Plant
XTRA_DFD,ZP779,Almeida et al. 2015,ERR754611,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DFE,ZP785,Almeida et al. 2015,ERR754612,39. Asian Oak,Quercus dentata,Bark,Tree,Plant
XTRA_DFF,ZP781,Almeida et al. 2015,ERR754614,39. Asian Oak,Quercus serrata,Bark,Tree,Plant
XTRA_DFG,ZP793,Almeida et al. 2015,ERR754615,39. Asian Oak,Quercus dentata,Bark,Tree,Plant
XTRA_DFH,ZP796,Almeida et al. 2015,ERR754616,39. Asian Oak,Quercus dentata,Bark,Tree,Plant
XTRA_DFI,ZP786,Almeida et al. 2015,ERR754617,39. Asian Oak,Quercus dentata,Bark,Tree,Plant
XTRA_DFJ,ZP823,Almeida et al. 2015,ERR754618,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DFK,ZP778,Almeida et al. 2015,ERR754619,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DFL,ZP783,Almeida et al. 2015,ERR754620,39. Asian Oak,Quercus acutissima,Bark,Tree,Plant
XTRA_DFM,ZP784,Almeida et al. 2015,ERR754621,39. Asian Oak,Quercus dentata,Bark,Tree,Plant
XTRA_DFN,ZP794,Almeida et al. 2015,ERR754622,39. Asian Oak,Quercus dentata,Bark,Tree,Plant
XTRA_DFO,GMY321,Franco-Duarte et al. 2016,ERR756197,1. AU Wine 1,NA,NA,NA,NA
XTRA_DFP,L174,Franco-Duarte et al. 2016,ERR756198,NA,wine,Wine,Brewery,Food
XTRA_DFQ,L175,Franco-Duarte et al. 2016,ERR756199,7. AU Wine 3,wine,Wine,Brewery,Food
XTRA_DFR,L181,Franco-Duarte et al. 2016,ERR756200,8. AU Wine 4,wine,Wine,Brewery,Food
XTRA_DFS,L461,Franco-Duarte et al. 2016,ERR756203,6. West Europe Wine,wine/vine,Wine,Brewery,Food
XTRA_DFT,L528,Franco-Duarte et al. 2016,ERR756204,1. AU Wine 1,wine/vine,Wine,Brewery,Food
XTRA_DFU,L560,Franco-Duarte et al. 2016,ERR756206,21. Mixed Origins 2,clinical,NA,Human,Clinical
XTRA_DFV,L561,Franco-Duarte et al. 2016,ERR756207,6. West Europe Wine,wine/vine,Wine,Brewery,Food
XTRA_DFW,L564,Franco-Duarte et al. 2016,ERR756208,8. AU Wine 4,wine,Wine,Brewery,Food
XTRA_DFX,L708,Franco-Duarte et al. 2016,ERR756209,NA,mushrooms,NA,Mushroom,Plant
XTRA_DFY,L709,Franco-Duarte et al. 2016,ERR756210,NA,palm wine,Palm Wine,Brewery,Food
XTRA_DFZ,L710,Franco-Duarte et al. 2016,ERR756211,33. African Palm Wine,fruit,NA,Fruit,Plant
XTRA_DGA,L712,Franco-Duarte et al. 2016,ERR756213,1. AU Wine 1,NA,NA,NA,NA
XTRA_DGB,L719,Franco-Duarte et al. 2016,ERR756216,29. Sake,sake,Sake,Distillary,Food
XTRA_DGC,L723,Franco-Duarte et al. 2016,ERR756217,7. AU Wine 3,wine/vine,Wine,Brewery,Food
XTRA_DGD,L725,Franco-Duarte et al. 2016,ERR756218,2. AU Wine 2,wine/vine,Wine,Brewery,Food
XTRA_DGE,L761,Franco-Duarte et al. 2016,ERR756225,14. Mediterranean Oak,NA,NA,NA,NA
XTRA_DGF,SD085,Franco-Duarte et al. 2016,ERR756226,8. AU Wine 4,wine/vine,Wine,Brewery,Food
XTRA_DGG,L292,Franco-Duarte et al. 2016,ERR756227,2. AU Wine 2,wine,Wine,Brewery,Food
